n_categories,mean_dominant_share,median_dominant_share,min_dominant_share,mean_dominant_purity,median_dominant_purity,mean_balanced_score,mean_non_noise_share,total_noise_rate,n_clusters,max_cluster_share,n_dominant_cluster_ties,perm_id,order_string,anchor,silhouette,ARI_vs_original,n_clusters_original,noise_rate_original,max_cluster_share_original,degenerate_original,groundtruth_rank,silhouette_rank,degenerate_recomputed,screened_groundtruth_rank
10,0.7742200508721312,0.8983333333333333,0.3333333333333333,0.7321880182421228,0.8072916666666667,0.7212808889857496,0.8928044602456368,0.2299349240780911,19,0.14533622559652928,0,251,name>def>order>unit>family>stage,NA,0.2824,0.7996,19,0.2299,0.1453,FALSE,100,291,FALSE,1
10,0.7738932534865103,0.9015384615384616,0.3333333333333333,0.7308526440879383,0.8008021390374331,0.720952635286209,0.8938665517489047,0.23210412147505424,19,0.1475054229934924,0,250,name>def>order>stage>unit>family,NA,0.2861,0.8187,19,0.2321,0.1475,FALSE,101,268,FALSE,2
10,0.7732130121592101,0.9377289377289377,0.3888888888888889,0.5578947368421052,0.5964912280701754,0.45545655553533393,0.8692157221863104,0.25813449023861174,15,0.37093275488069416,0,650,unit>name>def>family>stage>order,NA,0.1924,0.2911,15,0.2581,0.3709,FALSE,102,542,FALSE,3
10,0.7359128613296475,0.9230769230769231,0.13333333333333333,0.45950920245398774,0.17177914110429449,0.4089342276010537,0.8336432136331706,0.279826464208243,15,0.35357917570498915,0,589,stage>unit>name>def>family>order,NA,0.1871,0.3096,15,0.2798,0.3536,FALSE,103,564,FALSE,4
10,0.7260947519720834,0.8664705882352941,0.2,0.46354738529352835,0.17972851132037668,0.41588290776080516,0.8399971909964736,0.2928416485900217,15,0.3362255965292842,1,590,stage>unit>name>def>order>family,NA,0.1933,0.3361,15,0.2928,0.3362,FALSE,104,538,FALSE,5
10,0.725357305774092,0.8936651583710407,0,0.4576470588235294,0.16470588235294117,0.3963490666923468,0.8227489046900811,0.27114967462039047,14,0.368763557483731,0,651,unit>name>def>order>family>stage,unit_first,0.1873,0.2989,14,0.2711,0.3688,FALSE,105,561,FALSE,6
10,0.7249616295548864,0.7525,0.3333333333333333,0.7328625933245498,0.8701298701298701,0.7060398766565862,0.8820075773899303,0.22559652928416485,21,0.14967462039045554,0,262,name>def>unit>order>stage>family,NA,0.2769,0.8136,21,0.2256,0.1497,FALSE,106,318,FALSE,7
10,0.7243663914596483,0.7733333333333333,0.3333333333333333,0.7306575067444633,0.8701298701298701,0.7071183086939223,0.8828012281835811,0.2386117136659436,20,0.14967462039045554,0,264,name>def>unit>stage>order>family,NA,0.2827,0.8579,20,0.2386,0.1497,FALSE,107,289,FALSE,8
10,0.7226773158293962,0.7582352941176471,0.3333333333333333,0.7321654040404041,0.8680555555555556,0.7056488885550519,0.8838899303311067,0.22559652928416485,21,0.14316702819956617,0,252,name>def>order>unit>stage>family,NA,0.2781,0.7711,21,0.2256,0.1432,FALSE,108,310,FALSE,9
10,0.7225139171365857,0.7435294117647059,0.3333333333333333,0.735985946420729,0.8671497584541064,0.7069171725603125,0.8277649931767579,0.25162689804772237,19,0.14967462039045554,0,259,name>def>unit>family>order>stage,NA,0.285,0.8647,19,0.2516,0.1497,FALSE,109,277,FALSE,10
10,0.7150137375775826,0.7533333333333333,0.3333333333333333,0.7382594468135513,0.778125,0.7052487763133481,0.8627648136177548,0.25162689804772237,21,0.14533622559652928,0,242,name>def>family>order>unit>stage,NA,0.2964,0.8469,21,0.2516,0.1453,FALSE,110,205,FALSE,11
10,0.7150137375775826,0.7533333333333333,0.3333333333333333,0.7382594468135513,0.778125,0.7052487763133481,0.8627648136177548,0.25162689804772237,21,0.14533622559652928,0,245,name>def>family>unit>order>stage,NA,0.2933,0.8584,21,0.2516,0.1453,FALSE,110,233,FALSE,11
10,0.7114848285780854,0.6971153846153846,0.3333333333333333,0.7501039809863339,0.8210227272727273,0.7102293134398397,0.8552676506500035,0.25813449023861174,21,0.1475054229934924,0,258,name>def>stage>unit>order>family,NA,0.2973,0.8672,21,0.2581,0.1475,FALSE,112,191,FALSE,13
10,0.7105786302012987,0.7435294117647059,0.3333333333333333,0.741106719367589,0.8063858695652174,0.7052338956869849,0.8686471665589313,0.24078091106290672,20,0.14316702819956617,0,248,name>def>order>family>unit>stage,NA,0.2941,0.8206,20,0.2408,0.1432,FALSE,113,224,FALSE,14
10,0.7104152315084883,0.7324999999999999,0.3333333333333333,0.7409536541889483,0.8053977272727273,0.7045523003944056,0.8726504345327875,0.2472885032537961,20,0.1475054229934924,0,249,name>def>order>stage>family>unit,NA,0.2956,0.8645,20,0.2473,0.1475,FALSE,114,215,FALSE,15
10,0.7028108359040928,0.6725,0.3333333333333333,0.7650893644195684,0.8315217391304348,0.717238415691956,0.873104646987,0.2559652928416486,20,0.1475054229934924,1,263,name>def>unit>stage>family>order,NA,0.2796,0.8217,20,0.256,0.1475,FALSE,115,301,FALSE,16
10,0.6928405708750042,0.6971153846153846,0.3333333333333333,0.7457557189542483,0.8083333333333333,0.6987154894677237,0.8536868850104145,0.2603036876355748,20,0.1475054229934924,0,246,name>def>family>unit>stage>order,NA,0.2946,0.8555,20,0.2603,0.1475,FALSE,116,222,FALSE,17
10,0.6862711533644101,0.642156862745098,0.3333333333333333,0.7471112914862915,0.8701298701298701,0.7033093417834082,0.838188896071249,0.26898047722342733,20,0.15184381778741865,0,261,name>def>unit>order>family>stage,original,0.2926,1,20,0.269,0.1518,FALSE,117,235,FALSE,18
10,0.684162465861892,0.7307692307692308,0.26666666666666666,0.27870445717093245,0.16753926701570682,0.2867713376488924,0.8175526055325194,0.26898047722342733,17,0.41431670281995664,0,573,stage>order>unit>family>def>name,NA,0.1111,0.181,17,0.269,0.4143,FALSE,118,689,FALSE,19
10,0.6804773230117563,0.6525000000000001,0.26666666666666666,0.7304559920983319,0.803125,0.6832540581704736,0.8413236371471665,0.26898047722342733,22,0.14533622559652928,0,244,name>def>family>stage>unit>order,NA,0.2996,0.8169,22,0.269,0.1453,FALSE,119,167,FALSE,20
