
  'conversion efficiency index' | percentage of adult female weight post feeding ... | percent
  'conversion efficiency index' | total mg eggs produced divided by mg engorged w... | proportion
  'feed conversion rate' | ability to produce eggs relative to the weight ... | percent
  'conversion efficiency' | total number of eggs produced divided by engorg... | eggs individual-1 mg-1
  'reproductive efficiency index' | mean number of eggs per mg weight of engorged f... | eggs individual-1 mg-1
  'reproductive efficiency index' | ratio of lifetime eggs to engorged female weight | eggs individual-1 day-1
  'conversion efficiency' | the ratio of laid eggs to engorged female body ... | ratio
  'egg conversion ratio' | mean weight of eggs / mean weight of engorged f... | percent
  'conversion efficiency' | Mean index of conversion efficiency- (cumulativ... | percent

--- Cluster 6 (8 members) ---
  'fecundity rate' | mean number of nymphs produced individual-1 dur... | nymphs unit time-1
  'fecundity' | mean lifetime nymphs individual-1 | nymphs individual-1
  'fecundity' | mean lifetime total number of nymphs | progeny individual-1
  'fecundity rate' | maximum number of offspring per female per day | nymphs individual-1 day-1
  'fecundity rate' | mean number of nymphs per day per female | progeny individual-1 day-1
  'fecundity' | mean of daily newborn nymph counts | mean number of nymphs
  'Reproductive average daily fecundity' | the number of newborn nymphs (N1) per female pe... | nymphs per day
  'Reproductive average total fecundity' | the number of newborn nymphs (N1) per female | nymphs

--- Cluster 7 (8 members) ---
  'weight loss' | nymphal weight loss during molting stage | percent
  'molting time' | mean duration of nymphal molting phase | days
  'molt success rate (nymphal)' | percentage that molted | percent
  'molting period (nymphal)' | mean duration of life stage | days
  'molting ratio (nymphal)' | percentage that molted during life stage | percent
  'molt success rate (nymphal)' | percentage that molted during life stage | percent
  'Molting Period' | number of days required for an individual engor... | days
  'moulting period' | mean time required for nymphs to moult | days

--- Cluster 8 (6 members) ---
  'egg mass' | mean egg mass weight | mg
  'weight' | Mean egg mass | mg
  'egg mass' | Mean egg mass by oviposition day of females rai... | mg
  'egg mass' | mean weight of eggs | mg
  'egg count' | mean number of eggs layed | mg
  'Egg Mass' | Weight of eggs laid by an individual female | mg

--- Cluster 9 (27 members) ---
  'fecundity' | mean lifetime offspring | offspring individual-1
  'fecundity rate' | mean eggs individual-1 day-1 | eggs individual-1 day-1
  'fecundity rate' | mean offspring per day | eggs individual-1 day-1
  'fecundity' | mean number of progeny in a reproductive period... | progeny indidividual-1
  'fecundity rate' | mean eggs per unit time | eggs individual-1 day-1
  'fecundity rate' | mean offspring per unit time | offspring individual-1 day-1
  'fecundity' | mean number of female offspring individual-1 | females individual-1
  'fecundity rate' | mean lifetime offspring | offspring individual-1 day-1
  'fecundity' | mean offspring per reproduction day | offspring individual-1 day-1
  'fecundity' | mean lifetime offspring as a function of size a... | offspring individual-1
  'fecundity rate' | mean number of eggs individual-1 day-1 | eggs individual-1 day-1
  'fecundity rate' | mean number of offspring per reproductive cycle | offspring individual-1 cycle-1
  'fecundity rate' | mean eggs produced by an individual female per day | eggs individual-1 day-1
  'fecundity rate' | peak number of eggs per day per individual | eggs individual-1 day-1
  'fecundity' | mean lifetime progeny | progeny individual-1
  'fecundity rate' | mean progeny per unit time | progeny individual-1 day-1
  'fecundity rate' | mean maximum progeny per unit time | progeny individual-1 day-1
  'fecundity' | mean duration of life stage | progeny individual-1
  'fecundity rate' | maximum progeny per unit time | progeny individual-1 day-1
  'fecundity rate' | mean duration of life stage | progeny individual-1 day-1
  'fecundity' | mean population-level offspring (100 individuals) | days
  'fecundity' | total population-level number of offspring prod... | offspring
  'fecundity rate' | mean offspring per reproduction day | offspring individual-1 day-1
  'fecundity' | mean lifetime progeny per female | progeny individual-1
  'fecundity rate (apterous)' | mean offspring per unit time | offspring individual-1 day-1
  'mean fecundity' | mean number of offspring produced by females | female/female
  'fecundity rate' | maximum number of eggs produced in a single day... | eggs individual-1 day-1

--- Cluster 10 (17 members) ---
  'fecundity' | mean lifetime eggs individual-1 | eggs individual-1
  'fecundity' | mean eggs produced per plant | eggs plant-1
  'fecundity' | mean number of eggs per cycle | eggs individual-1 cycle-1
  'fecundity' | mean lifetime egg punctures | egg punctures individual-1
  'fecundity' | mean lifetime eggs per 10 individuals | eggs 10 individuals-1
  'fecundity' | mean lifetime eggs per individual (across all h... | eggs individual-1
  'fecundity' | mean lifetime eggs per individual | eggs individual-1
  'fecundity' | mean number of eggs per cycle (1st) | eggs individual-1 cycle-1
  'fecundity' | mean lifetime eggs | eggs individual-1
  'fecundity' | individual-level lifetime eggs | eggs individual-1
  'fecundity' | mean lifetime eggs laid per female | eggs individual-1
  'fecundity' | mean lifetime eggs produced by an individual fe... | eggs individual-1
  'fecundity' | individual-level weight of lifetime eggs per in... | mg eggs individual-1
  'fecundity' | total number of eggs produced | eggs individual-1
  'fecundity' | mean number of lifetime eggs by a tick | eggs individual-1
  'fecundity' | mean eggs individual-1 | eggs
  'fecundity' | mean liftetime eggs | eggs individual-1

--- Cluster 11 (16 members) ---
  'body size' | mean wet mass | mg
  'body size' | mean wet mass (waxless and gravid) | mg
  'body size' | mean dry mass | mg
  'body size' | mean body weight | mg
  'body size' | individual-level mass | mg
  'body size' | individual-level wet mass | mg
  'body size' | mean wet mass on the day feeding was completed | mg
  'body size' | mean body weight of engorged adult females | mg
  'body size' | mean wet mass on the day feeding was completed ... | mg
  'body mass' | mean weight of female | mg
  'body size' | mean dry mass. relationship between dry mass an... | mg
  'body size' | dry mass | mg
  'body size (mass)' | mean wet mass | mg
  'body size' | mean of weight (unfed) | mg
  'body size' | mean of weight (engorged) | mg
  'Body Mass' | Weight of an individual engorged female | mg

--- Cluster 12 (13 members) ---
  'body size' | mean wing length (mm) | mm
  'body size' | mean length | mm
  'body size' | mean width | mm
  'body size' | mean head width | mm
  'body size' | mean thorax length | mm
  'body size' | mean wing length | mm
  'body length' | replicate-level mean body length | mm
  'body size (length)' | mean body length | mm
  'body size (length)' | mean body length (adult) | mm
