eval,current_sil,best_sil
1,0.19592353465031376,0.19592353465031376
2,0.2457145644866395,0.2457145644866395
3,0.23567216489953505,0.2457145644866395
4,0.23852422138261378,0.2457145644866395
5,0.23852422138261378,0.2457145644866395
6,0.23852422138261378,0.2457145644866395
7,0.22156611409530533,0.2457145644866395
8,0.25107579106702355,0.25107579106702355
9,0.27208212740623455,0.27208212740623455
10,0.2767346847609902,0.2767346847609902
11,0.2767346847609902,0.2767346847609902
12,0.2767346847609902,0.2767346847609902
13,0.24551272107894534,0.2767346847609902
14,0.2811340513507658,0.2811340513507658
15,0.281215414020455,0.281215414020455
16,0.3054188291072877,0.3054188291072877
17,0.3048285864021637,0.3054188291072877
18,0.3048285864021637,0.3054188291072877
19,0.3092258067425014,0.3092258067425014
20,0.3234854545653591,0.3234854545653591
21,0.3031704385790607,0.3234854545653591
22,0.2798203107146966,0.3234854545653591
23,0.2876548674148213,0.3234854545653591
24,0.2977489698574566,0.3234854545653591
25,0.32251746819529237,0.3234854545653591
26,0.2958014823500534,0.3234854545653591
27,0.3657988595632713,0.3657988595632713
28,0.3489261887406848,0.3657988595632713
29,0.3309598606916243,0.3657988595632713
30,0.3309598606916243,0.3657988595632713
31,0.3309598606916243,0.3657988595632713
32,0.3299343057965485,0.3657988595632713
33,0.3299343057965485,0.3657988595632713
34,0.3299343057965485,0.3657988595632713
35,0.33045105968377986,0.3657988595632713
36,0.3362403750141174,0.3657988595632713
37,0.3362403750141174,0.3657988595632713
38,0.3329683901597146,0.3657988595632713
39,0.3185838308197217,0.3657988595632713
40,0.32459558865702975,0.3657988595632713
41,0.32459558865702975,0.3657988595632713
42,0.32459558865702975,0.3657988595632713
43,0.31024929176194893,0.3657988595632713
44,0.31024929176194893,0.3657988595632713
45,0.31024929176194893,0.3657988595632713
46,0.3156540712258918,0.3657988595632713
47,0.3156540712258918,0.3657988595632713
48,0.30898168209394866,0.3657988595632713
49,0.30898168209394866,0.3657988595632713
50,0.30987873262027954,0.3657988595632713
51,0.30987873262027954,0.3657988595632713
52,0.31167407232551575,0.3657988595632713
53,0.30925661481409583,0.3657988595632713
54,0.30925661481409583,0.3657988595632713
55,0.30925661481409583,0.3657988595632713
56,0.2940779582201141,0.3657988595632713
57,0.29053905606731395,0.3657988595632713
58,0.3020626960490791,0.3657988595632713
59,0.3020626960490791,0.3657988595632713
60,0.3020626960490791,0.3657988595632713
61,0.33885605059081214,0.3657988595632713
62,0.33885605059081214,0.3657988595632713
63,0.33885605059081214,0.3657988595632713
64,0.33885605059081214,0.3657988595632713
65,0.33885605059081214,0.3657988595632713
66,0.33885605059081214,0.3657988595632713
67,0.33885605059081214,0.3657988595632713
68,0.34902048712106937,0.3657988595632713
69,0.34902048712106937,0.3657988595632713
70,0.3416934602611243,0.3657988595632713
71,0.3416934602611243,0.3657988595632713
72,0.3416934602611243,0.3657988595632713
73,0.3157311219321081,0.3657988595632713
74,0.3157311219321081,0.3657988595632713
75,0.3153515280451357,0.3657988595632713
76,0.3598510692278228,0.3657988595632713
77,0.3598510692278228,0.3657988595632713
78,0.3598510692278228,0.3657988595632713
