version,n_clusters,n_noise,noise_rate,avg_size,median_size,dbcv
v1,30,102,0.21841541755888652,12.166666666666666,9.0,0.32182600738987266
v2,23,163,0.3490364025695932,13.217391304347826,9.0,0.0977282502701189
v3,22,140,0.29978586723768735,14.863636363636363,9.5,0.0864057237197375
v4,22,134,0.28693790149892934,15.136363636363637,12.0,0.05743119764891326
v5,21,124,0.26552462526766596,16.333333333333332,11.0,0.0659462771003188
v6,20,122,0.26124197002141325,17.25,13.0,0.05846157234505204
