version,last_field_added,cache_hit,silhouette
V1,name,TRUE,0.7216
V2,def,TRUE,0.2606
V3,unit,TRUE,0.2737
V4,order,TRUE,0.2849
V5,family,TRUE,0.2947
V6,stage,TRUE,0.2926
V7,class,TRUE,0.3034
V8,phylum,TRUE,0.3014
V9,kingdom,TRUE,0.2937
V10,genus,TRUE,0.2858
V11,species,TRUE,0.2784
V12,habitat,TRUE,0.2834
V13,labfield,TRUE,0.2868
V14,loctype,TRUE,0.2758
V15,location,TRUE,0.2765
V16,temp,TRUE,0.2781
V17,tempunit,TRUE,0.2801
V18,lat,TRUE,0.2754
V19,long,TRUE,0.2794
V20,coordtype,TRUE,0.2782
