OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,noise_category
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Genuinely idiosyncratic
oviposition,period of oviposition in days,days,Genuinely idiosyncratic
oviposition,daily average number of eggs / female,eggs,Genuinely idiosyncratic
oviposition failure,mean probability of failure to oviposit,probability,Genuinely idiosyncratic
oviposition period,mean duration of life stage,days,Genuinely idiosyncratic
ovipositional period,mean duration of life stage,days,Genuinely idiosyncratic
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Genuinely idiosyncratic
parasite maturation time,mean duration time from infective feed to mature infection,days,Genuinely idiosyncratic
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Genuinely idiosyncratic
percent moult,percentage moulted engorged on calves,days,Genuinely idiosyncratic
percent moult,percentage moulted engorged on rabbits,percent,Genuinely idiosyncratic
percent survival,percent of adult aphids that were still alive each day,percent,Genuinely idiosyncratic
post-oviposition period,mean duration of life stage,days,Genuinely idiosyncratic
pre-blood meal period,average duration from emergence to first blood meal,days,Genuinely idiosyncratic
pre-hatch period,number of days until hatching,days,Genuinely idiosyncratic
pre-reproductive period,mean duration of life stage,days,Genuinely idiosyncratic
pre-reproductive period,mean duration to production of first larva,days,Genuinely idiosyncratic
pre-reproductive period,mean rate of life stage completion,days,Genuinely idiosyncratic
prey consumption,mean number of prey consumed,number of individual prey individual-1,Genuinely idiosyncratic
protein content,mean protein content per individual,ug,Genuinely idiosyncratic
questing,mean percent of ticks questing,percent,Genuinely idiosyncratic
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Genuinely idiosyncratic
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Genuinely idiosyncratic
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Genuinely idiosyncratic
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Genuinely idiosyncratic
reproductive period,period of time where female aphids reproduce,days,Genuinely idiosyncratic
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Genuinely idiosyncratic
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Genuinely idiosyncratic
sex ratio,ratio of male ticks to female ticks,ratio,Genuinely idiosyncratic
sex ratio,mean proportion of female adults cohort-1,ratio,Genuinely idiosyncratic
sex ratio,ratio of male psyllids to female psyllids,ratio,Genuinely idiosyncratic
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Genuinely idiosyncratic
survival,percent surviving life stage (across all humidity levels),percent,Genuinely idiosyncratic
survival,probability of survival after exposure to extreme temperatures,probability,Genuinely idiosyncratic
survival,individual-level binomial survival,1 = survived life stage,Genuinely idiosyncratic
survival,percentage of individuals surviving life stage (emergence rate),individuals,Genuinely idiosyncratic
survival,cumulative daily survival,lx,Genuinely idiosyncratic
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,Genuinely idiosyncratic
total preoviposition period,mean duration from egg to onset of reproduction,days,Genuinely idiosyncratic
transmission potential,percent of individuals with transmission potential,percent,Genuinely idiosyncratic
viral load,individual-level viral load,PFU (plaque-forming units),Genuinely idiosyncratic
weight loss,proportionate weight loss in relation to temperature and population,proportion,Genuinely idiosyncratic
oocyst intensity,not stated,not stated,Missing definition
oocyst prevalence,not stated,percent,Missing definition
sporozoite prevalence,not stated,percent,Missing definition
