
--- Cluster 1 (21 members) ---
  'conversion efficiency index' | percentage of adult female weight post feeding ... | percent
  'molting time' | mean duration of nymphal molting phase | days
  'body size' | mean weight of nymphs post-feeding | mg
  'sex ratio' | ratio of male ticks to female ticks | ratio
  'feeding time' | mean duration of feeding developmental phase | days
  'body size' | mean body weight of engorged adult females | mg
  'body size' | mean wet mass on the day feeding was completed ... | mg
  'fertility' | percentage of females that laid fertile eggs | percent
  'oviposition failure' | mean probability of failure to oviposit | probability
  'conversion efficiency index' | total mg eggs produced divided by mg engorged w... | proportion
  'fecundity rate' | mean weight of egg mass per day | mg eggs day-1
  'fecundity' | individual-level weight of lifetime eggs per in... | mg eggs individual-1
  'hatch rate' | mean hatching rate of egg batches | percent
  'weight loss' | cumulative weight loss across time (see notes f... | percent
  'development rate' | mean development rate per day | percent day-1
  'feed conversion rate' | ability to produce eggs relative to the weight ... | percent
  'larval hatch rate' | percentage of unfertilized eggs that were subse... | percent
  'mortality' | number of dead individuals per group | individuals
  'weight loss' | mean weight loss | mg
  'hatch rate' | percentage of unfertilized eggs that were subse... | percent
  'feeding preference' | mean number of individual ticks selecting to fe... | individuals
  'survival rate' | percent surviving to oviposition | percent
  'hatch rate' | percentage of egg masses producing larvae | percent
  'survival rate' | percent surviving life stage | percent
  'fecundity' | total number of eggs produced | eggs individual-1
  'body mass' | mean weight of female | mg
  'conversion efficiency' | total number of eggs produced divided by engorg... | eggs individual-1 mg-1
  'hatch ratio' | hatching ratio of eggs | percent
  'molting period (larval)' | mean duration of life stage | days
  'molting ratio (larval)' | percentage that molted during life stage | percent
  'molting period (nymphal)' | mean duration of life stage | days
  'molting ratio (nymphal)' | percentage that molted during life stage | percent
  'prefeeding period (larval)' | mean duration of life stage | days
  'feeding period (larval)' | mean duration of life stage | days
  'prefeeding period (nymphal)' | mean duration of life stage | days
  'feeding period (nymphal)' | mean duration of life stage | days
  'prefeeding period (adult)' | mean duration of life stage | days
  'feeding period (adult)' | mean duration of life stage | days
  'lifespan' | mean duration of entire life | days
  'fecundity' | mean number of lifetime eggs by a tick | eggs individual-1
  'reproductive efficiency index' | mean number of eggs per mg weight of engorged f... | eggs individual-1 mg-1
  'pre-hatch period' | number of days until hatching | days
  'mortality (larval)' | duration for 100% mortality (unfed larvae) | weeks
  'mortality (nymphal)' | duration for 50% mortality (unfed nymphs) | weeks
  'mortality (adult)' | mean duration for 100% mortality (unfed adults) | weeks
  'fecundity rate' | peak number of eggs per day per individual | eggs individual-1 day-1
  'reproductive efficiency index' | ratio of lifetime eggs to engorged female weight | eggs individual-1 day-1
  'body size' | mean dry mass. relationship between dry mass an... | mg
  'mortality' | time taken for 50% of adults to die | days
  'survival' | proportion of individuals surviving life stage ... | proportion
  'body size' | dry mass | mg
  'survival' | percentage of individuals surviving life stage ... | individuals
  'reproductive capacity' | proportion of individuals that laid eggs after ... | proportion
  'fertility' | mean number of hatched eggs in an individuals l... | eggs individual-1
  'survival rate' | mean percentage surviving life stage | percent
  'lifespan' | mean duration of entrie lifespan (from egg to a... | days
  'fecundity' | mean eggs individual-1 | eggs
  'sex ratio' | mean proportion of female adults cohort-1 | ratio
  'fecundity' | mean lifetime total number of nymphs | progeny individual-1
  'sex ratio' | ratio of male psyllids to female psyllids | ratio
  'head capsule width' | mean width of head capsule | mm
  'cold hardiness' | percent of eggs hatched after being exposed to ... | percent
  'temperature thresholds for oviposition' | number of psyllid eggs laid over a 48 hour peri... | number of eggs
  'mortality rate' | inverse of mean longevity | days-1
  'fecundity' | mean lifetime progeny | progeny individual-1
  'reproductive and post-reproductive periods' | mean duration of life stage | days
  'life cycle' | mean duration of entire life cycle | days
  'development rate' | replicate-level mean rate of life stage completion | days-1
