eval,current_sil,best_sil
1,0.2877519185358306,0.2877519185358306
2,0.2922041398546831,0.2922041398546831
3,0.28182179548784303,0.2922041398546831
4,0.28182179548784303,0.2922041398546831
5,0.29163805997745074,0.2922041398546831
6,0.28644384930611194,0.2922041398546831
7,0.28644384930611194,0.2922041398546831
8,0.30136130776642645,0.30136130776642645
9,0.3036932623144022,0.3036932623144022
10,0.3036932623144022,0.3036932623144022
11,0.3036932623144022,0.3036932623144022
12,0.34313950732203563,0.34313950732203563
13,0.34313950732203563,0.34313950732203563
14,0.3359517497393727,0.34313950732203563
15,0.3359517497393727,0.34313950732203563
16,0.34020218430563265,0.34313950732203563
17,0.34020218430563265,0.34313950732203563
18,0.34020218430563265,0.34313950732203563
19,0.34020218430563265,0.34313950732203563
20,0.33987748349810687,0.34313950732203563
21,0.33987748349810687,0.34313950732203563
22,0.33987748349810687,0.34313950732203563
23,0.3104602902713595,0.34313950732203563
24,0.29689806719789824,0.34313950732203563
25,0.21379478730050233,0.34313950732203563
26,0.2051596669573012,0.34313950732203563
27,0.21742751007445732,0.34313950732203563
28,0.22055058050134216,0.34313950732203563
29,0.26972777145273313,0.34313950732203563
30,0.26972777145273313,0.34313950732203563
31,0.26972777145273313,0.34313950732203563
32,0.3162754791603026,0.34313950732203563
33,0.3121992885939208,0.34313950732203563
34,0.32245035448226333,0.34313950732203563
35,0.32245035448226333,0.34313950732203563
36,0.294833371516096,0.34313950732203563
37,0.2801965616032494,0.34313950732203563
38,0.2726658904391876,0.34313950732203563
39,0.29795357458125626,0.34313950732203563
40,0.30136130776642645,0.34313950732203563
41,0.30136130776642645,0.34313950732203563
42,0.30136130776642645,0.34313950732203563
43,0.29765116586850165,0.34313950732203563
44,0.27079103871942056,0.34313950732203563
45,0.3126364049737335,0.34313950732203563
46,0.2697594906807517,0.34313950732203563
47,0.3126364049737335,0.34313950732203563
48,0.3086178375386417,0.34313950732203563
49,0.296413945010457,0.34313950732203563
50,0.296413945010457,0.34313950732203563
51,0.3036131681532019,0.34313950732203563
52,0.3036131681532019,0.34313950732203563
53,0.28182179548784303,0.34313950732203563
54,0.3086178375386417,0.34313950732203563
55,0.2877519185358306,0.34313950732203563
56,0.3046183452319555,0.34313950732203563
57,0.3046183452319555,0.34313950732203563
58,0.3046183452319555,0.34313950732203563
59,0.30648904620930967,0.34313950732203563
60,0.30648904620930967,0.34313950732203563
61,0.2940911089035677,0.34313950732203563
62,0.2775985591746781,0.34313950732203563
63,0.2775985591746781,0.34313950732203563
64,0.28482923483853145,0.34313950732203563
65,0.29908783561243074,0.34313950732203563
66,0.29908783561243074,0.34313950732203563
67,0.2391733111251243,0.34313950732203563
68,0.2868533132320002,0.34313950732203563
69,0.2391733111251243,0.34313950732203563
70,0.2965694613964604,0.34313950732203563
71,0.3467883862377283,0.3467883862377283
72,0.33516672598147795,0.3467883862377283
73,0.33516672598147795,0.3467883862377283
74,0.33516672598147795,0.3467883862377283
75,0.3018612337555175,0.3467883862377283
76,0.3018612337555175,0.3467883862377283
77,0.3191716271181534,0.3467883862377283
78,0.3191716271181534,0.3467883862377283
79,0.3191716271181534,0.3467883862377283
80,0.2786115513805127,0.3467883862377283
81,0.2849712613289221,0.3467883862377283
82,0.2955311064729514,0.3467883862377283
83,0.2849712613289221,0.3467883862377283
84,0.3041351915308173,0.3467883862377283
85,0.30497548106607997,0.3467883862377283
86,0.3368884751891416,0.3467883862377283
87,0.3368884751891416,0.3467883862377283
88,0.3379768715992454,0.3467883862377283
89,0.3379768715992454,0.3467883862377283
90,0.3379768715992454,0.3467883862377283
91,0.3379768715992454,0.3467883862377283
92,0.3379768715992454,0.3467883862377283
93,0.3379768715992454,0.3467883862377283
94,0.3379768715992454,0.3467883862377283
95,0.3379768715992454,0.3467883862377283
96,0.3379768715992454,0.3467883862377283
97,0.34020218430563265,0.3467883862377283
98,0.33716920967349234,0.3467883862377283
99,0.33716920967349234,0.3467883862377283
100,0.33716920967349234,0.3467883862377283
101,0.33716920967349234,0.3467883862377283
102,0.33716920967349234,0.3467883862377283
103,0.3368884751891416,0.3467883862377283
104,0.3262469666201332,0.3467883862377283
105,0.3262469666201332,0.3467883862377283
106,0.3262469666201332,0.3467883862377283
107,0.3262469666201332,0.3467883862377283
108,0.3262469666201332,0.3467883862377283
109,0.3262469666201332,0.3467883862377283
110,0.3262469666201332,0.3467883862377283
111,0.3262469666201332,0.3467883862377283
112,0.3295997965150504,0.3467883862377283
113,0.3295997965150504,0.3467883862377283
114,0.3287967359027569,0.3467883862377283
115,0.32592183724845886,0.3467883862377283
116,0.32592183724845886,0.3467883862377283
117,0.3379768715992454,0.3467883862377283
118,0.34313950732203563,0.3467883862377283
119,0.34313950732203563,0.3467883862377283
120,0.3379768715992454,0.3467883862377283
