perm_id,order_string,anchor,silhouette,n_clusters,noise_rate,avg_cluster_size,max_cluster_share,ARI_vs_original,degenerate
708,unit>stage>family>order>name>def,,0.2711,26,0.3167,12.12,0.1193,0.4471,FALSE
709,unit>stage>name>def>family>order,,0.30620000000000003,26,0.3753,11.08,0.141,0.5265,FALSE
710,unit>stage>name>def>order>family,,0.3125,24,0.4338,10.88,0.0651,0.3807,FALSE
711,unit>stage>name>family>def>order,,0.2813,23,0.3861,12.3,0.141,0.4744,FALSE
712,unit>stage>name>family>order>def,,0.272,23,0.3926,12.17,0.0759,0.3947,FALSE
713,unit>stage>name>order>def>family,,0.2763,21,0.3818,13.57,0.1453,0.5226,FALSE
714,unit>stage>name>order>family>def,,0.2645,21,0.3709,13.81,0.0824,0.4009,FALSE
715,unit>stage>order>def>family>name,,0.2304,18,0.3623,16.33,0.0998,0.3942,FALSE
716,unit>stage>order>def>name>family,,0.2448,17,0.4208,15.71,0.1063,0.4052,FALSE
717,unit>stage>order>family>def>name,,0.2496,20,0.436,13,0.102,0.3239,FALSE
718,unit>stage>order>family>name>def,,0.2981,26,0.3601,11.35,0.0759,0.4792,FALSE
719,unit>stage>order>name>def>family,,0.3109,27,0.397,10.3,0.0672,0.4253,FALSE
720,unit>stage>order>name>family>def,,0.2718,21,0.3709,13.81,0.0933,0.415,FALSE
