perm_id,order_string,anchor,silhouette,n_clusters,noise_rate,avg_cluster_size,max_cluster_share,ARI_vs_original,degenerate
487,stage>def>name>family>order>unit,,0.135,2,0.0282,224,0.9501,-0.0061,TRUE
488,stage>def>name>family>unit>order,,0.1313,2,0.0239,225,0.9523,-0.0052,TRUE
489,stage>def>name>order>family>unit,,0.2536,21,0.4751,11.52,0.0521,0.3184,FALSE
490,stage>def>name>order>unit>family,,0.1322,2,0.0325,223,0.9458,-0.0084,TRUE
491,stage>def>name>unit>family>order,,0.2567,23,0.4751,10.52,0.0456,0.311,FALSE
492,stage>def>name>unit>order>family,,0.2573,23,0.4772,10.48,0.0456,0.3254,FALSE
493,stage>def>order>family>name>unit,,0.1328,2,0.0564,217.5,0.9241,-0.0179,TRUE
494,stage>def>order>family>unit>name,,0.1963,19,0.4577,13.16,0.1475,0.3032,FALSE
495,stage>def>order>name>family>unit,,0.1613,15,0.3514,19.93,0.1605,0.332,FALSE
496,stage>def>order>name>unit>family,,0.1633,15,0.3536,19.87,0.1605,0.3341,FALSE
497,stage>def>order>unit>family>name,,0.1247,2,0.0477,219.5,0.9349,-0.0139,TRUE
498,stage>def>order>unit>name>family,,0.1651,16,0.3774,17.94,0.1562,0.3124,FALSE
499,stage>def>unit>family>name>order,,0.1646,18,0.4208,14.83,0.1497,0.2974,FALSE
500,stage>def>unit>family>order>name,,0.0798,3,0.0889,140,0.8785,-0.0289,TRUE
501,stage>def>unit>name>family>order,,0.1365,2,0.0282,224,0.9501,-0.0061,TRUE
502,stage>def>unit>name>order>family,,0.2381,21,0.4642,11.76,0.0716,0.3149,FALSE
503,stage>def>unit>order>family>name,,0.1337,2,0.0347,222.5,0.9436,-0.0095,TRUE
504,stage>def>unit>order>name>family,,0.043,7,0.2191,51.43,0.6681,0.0781,TRUE
505,stage>family>def>name>order>unit,,0.1708,19,0.3102,16.74,0.1909,0.3471,FALSE
506,stage>family>def>name>unit>order,,0.168,18,0.3189,17.44,0.1866,0.3434,FALSE
507,stage>family>def>order>name>unit,,0.1825,22,0.3167,14.32,0.1996,0.2884,FALSE
508,stage>family>def>order>unit>name,,0.1809,22,0.3254,14.14,0.1844,0.2941,FALSE
509,stage>family>def>unit>name>order,,0.1813,21,0.3492,14.29,0.1909,0.3074,FALSE
510,stage>family>def>unit>order>name,,0.1624,19,0.2993,17,0.1887,0.3521,FALSE
511,stage>family>name>def>order>unit,,0.2887,25,0.3319,12.32,0.0824,0.534,FALSE
512,stage>family>name>def>unit>order,,0.2791,25,0.295,13,0.1128,0.5178,FALSE
513,stage>family>name>order>def>unit,,0.2211,21,0.3059,15.24,0.2234,0.3982,FALSE
514,stage>family>name>order>unit>def,,0.2861,23,0.3427,13.17,0.0911,0.4615,FALSE
515,stage>family>name>unit>def>order,,0.2793,23,0.3124,13.78,0.115,0.5384,FALSE
516,stage>family>name>unit>order>def,,0.2276,22,0.3059,14.55,0.2191,0.3648,FALSE
517,stage>family>order>def>name>unit,,0.1487,15,0.3167,21,0.2104,0.3497,FALSE
518,stage>family>order>def>unit>name,,0.1593,13,0.2581,26.31,0.2148,0.3122,FALSE
519,stage>family>order>name>def>unit,,0.2807,25,0.2907,13.08,0.0933,0.4771,FALSE
520,stage>family>order>name>unit>def,,0.2714,21,0.3557,14.14,0.1063,0.4298,FALSE
521,stage>family>order>unit>def>name,reversed,0.1903,17,0.2733,19.71,0.2017,0.2755,FALSE
522,stage>family>order>unit>name>def,,0.2618,22,0.3232,14.18,0.1193,0.4987,FALSE
523,stage>family>unit>def>name>order,,0.1745,14,0.3362,21.86,0.1584,0.3496,FALSE
524,stage>family>unit>def>order>name,,0.2455,19,0.4577,13.16,0.1215,0.2974,FALSE
525,stage>family>unit>name>def>order,,0.3012,25,0.3557,11.88,0.0759,0.5584,FALSE
526,stage>family>unit>name>order>def,,0.2998,23,0.3536,12.96,0.1106,0.4679,FALSE
527,stage>family>unit>order>def>name,,0.1962,16,0.2711,21,0.2234,0.2817,FALSE
528,stage>family>unit>order>name>def,,0.2634,22,0.3232,14.18,0.1193,0.4617,FALSE
529,stage>name>def>family>order>unit,,0.307,23,0.3991,12.04,0.1432,0.5424,FALSE
530,stage>name>def>family>unit>order,,0.2839,25,0.3623,11.76,0.1432,0.6069,FALSE
531,stage>name>def>order>family>unit,,0.2871,26,0.4013,10.62,0.0586,0.4328,FALSE
532,stage>name>def>order>unit>family,,0.2774,26,0.3644,11.27,0.0629,0.4347,FALSE
533,stage>name>def>unit>family>order,,0.2795,22,0.3492,13.64,0.1388,0.6473,FALSE
534,stage>name>def>unit>order>family,,0.2779,25,0.3709,11.6,0.0607,0.5312,FALSE
535,stage>name>family>def>order>unit,,0.1321,2,0.0456,220,0.9371,-0.0129,TRUE
536,stage>name>family>def>unit>order,,0.1289,2,0.039,221.5,0.9414,-0.0107,TRUE
537,stage>name>family>order>def>unit,,0.0662,3,0.039,147.67,0.9306,-0.0173,TRUE
538,stage>name>family>order>unit>def,,0.1373,2,0.0347,222.5,0.9436,-0.0095,TRUE
539,stage>name>family>unit>def>order,,0.1365,2,0.0434,220.5,0.9349,-0.0134,TRUE
540,stage>name>family>unit>order>def,,0.1286,2,0.0347,222.5,0.9371,-0.0136,TRUE
541,stage>name>order>def>family>unit,,0.2684,24,0.41,11.33,0.0738,0.3966,FALSE
542,stage>name>order>def>unit>family,,0.2869,25,0.4143,10.8,0.0499,0.4389,FALSE
543,stage>name>order>family>def>unit,,0.2351,20,0.3514,14.95,0.1193,0.3857,FALSE
544,stage>name>order>family>unit>def,,0.1223,2,0.0347,222.5,0.9349,-0.0149,TRUE
545,stage>name>order>unit>def>family,,0.2641,23,0.3579,12.87,0.0716,0.4597,FALSE
546,stage>name>order>unit>family>def,,0.1179,2,0.0325,223,0.9371,-0.0139,TRUE
547,stage>name>unit>def>family>order,,0.3038,22,0.3991,12.59,0.141,0.5859,FALSE
548,stage>name>unit>def>order>family,,0.2964,23,0.3731,12.57,0.1432,0.606,FALSE
549,stage>name>unit>family>def>order,,0.1357,2,0.0412,221,0.9371,-0.0125,TRUE
550,stage>name>unit>family>order>def,,0.0836,3,0.0347,148.33,0.9328,-0.0161,TRUE
551,stage>name>unit>order>def>family,,0.2775,25,0.3883,11.28,0.0716,0.5142,FALSE
552,stage>name>unit>order>family>def,,0.117,2,0.0347,222.5,0.9349,-0.0149,TRUE
553,stage>order>def>family>name>unit,,0.179,18,0.3427,16.83,0.1887,0.3897,FALSE
554,stage>order>def>family>unit>name,,0.1721,19,0.3601,15.53,0.1996,0.3049,FALSE
555,stage>order>def>name>family>unit,,0.1744,19,0.3623,15.47,0.1887,0.4031,FALSE
556,stage>order>def>name>unit>family,,0.2414,21,0.4208,12.71,0.1041,0.3944,FALSE
557,stage>order>def>unit>family>name,,0.1478,16,0.3427,18.94,0.1931,0.3864,FALSE
558,stage>order>def>unit>name>family,,0.1782,19,0.3926,14.74,0.1887,0.3239,FALSE
559,stage>order>family>def>name>unit,,0.166,15,0.3384,20.33,0.1866,0.3502,FALSE
560,stage>order>family>def>unit>name,,0.1925,18,0.3319,17.11,0.1866,0.2623,FALSE
561,stage>order>family>name>def>unit,,0.2651,20,0.2993,16.15,0.102,0.4849,FALSE
562,stage>order>family>name>unit>def,,0.285,21,0.3753,13.71,0.0998,0.4383,FALSE
563,stage>order>family>unit>def>name,,0.2414,22,0.4577,11.36,0.0868,0.2717,FALSE
564,stage>order>family>unit>name>def,,0.3195,23,0.3839,12.35,0.0954,0.4361,FALSE
565,stage>order>name>def>family>unit,,0.3033,29,0.3709,10,0.0716,0.4983,FALSE
566,stage>order>name>def>unit>family,,0.2973,28,0.3709,10.36,0.0672,0.4918,FALSE
567,stage>order>name>family>def>unit,,0.3065,28,0.4403,9.21,0.0434,0.3376,FALSE
568,stage>order>name>family>unit>def,,0.2958,20,0.4447,12.8,0.0672,0.4184,FALSE
569,stage>order>name>unit>def>family,,0.2807,23,0.3427,13.17,0.0716,0.5196,FALSE
570,stage>order>name>unit>family>def,,0.2854,23,0.4078,11.87,0.0781,0.403,FALSE
571,stage>order>unit>def>family>name,,0.2089,15,0.3666,19.47,0.1866,0.2909,FALSE
572,stage>order>unit>def>name>family,,0.1976,17,0.3557,17.47,0.18,0.33,FALSE
573,stage>order>unit>family>def>name,,0.1111,17,0.269,19.82,0.4143,0.181,FALSE
574,stage>order>unit>family>name>def,,0.3028,22,0.3796,13,0.0954,0.4557,FALSE
575,stage>order>unit>name>def>family,,0.3031,28,0.3557,10.61,0.0651,0.4648,FALSE
576,stage>order>unit>name>family>def,,0.3058,23,0.3883,12.26,0.0846,0.4671,FALSE
577,stage>unit>def>family>name>order,,0.0612,4,0.0434,110.25,0.9176,-0.0265,TRUE
578,stage>unit>def>family>order>name,,0.1091,3,0.0629,144,0.9067,-0.028,TRUE
579,stage>unit>def>name>family>order,,0.1439,2,0.0456,220,0.9371,-0.015,TRUE
580,stage>unit>def>name>order>family,,0.1387,2,0.0456,220,0.9371,-0.015,TRUE
581,stage>unit>def>order>family>name,,0.1409,2,0.0803,212,0.9002,-0.0236,TRUE
582,stage>unit>def>order>name>family,,0.1377,2,0.0716,214,0.9089,-0.0221,TRUE
583,stage>unit>family>def>name>order,,0.1065,3,0.0412,147.33,0.9328,-0.0166,TRUE
584,stage>unit>family>def>order>name,,0.1054,3,0.0564,145,0.9176,-0.0246,TRUE
585,stage>unit>family>name>def>order,,0.283,23,0.3579,12.87,0.0781,0.5206,FALSE
586,stage>unit>family>name>order>def,,0.2473,19,0.3623,15.47,0.1106,0.4264,FALSE
587,stage>unit>family>order>def>name,,0.1152,3,0.0586,144.67,0.9132,-0.0241,TRUE
588,stage>unit>family>order>name>def,,0.2405,20,0.3623,14.7,0.115,0.5301,FALSE
589,stage>unit>name>def>family>order,,0.1871,15,0.2798,22.13,0.3536,0.3096,FALSE
590,stage>unit>name>def>order>family,,0.1933,15,0.2928,21.73,0.3362,0.3361,FALSE
591,stage>unit>name>family>def>order,,0.283,24,0.4187,11.17,0.0716,0.3975,FALSE
592,stage>unit>name>family>order>def,,0.0745,4,0.0434,110.25,0.9132,-0.0258,TRUE
593,stage>unit>name>order>def>family,,0.265,24,0.3731,12.04,0.0716,0.4605,FALSE
594,stage>unit>name>order>family>def,,0.274,26,0.4121,10.42,0.0672,0.3171,FALSE
595,stage>unit>order>def>family>name,,0.1703,17,0.3341,18.06,0.1931,0.3663,FALSE
596,stage>unit>order>def>name>family,,0.1064,3,0.0651,143.67,0.9089,-0.0272,TRUE
597,stage>unit>order>family>def>name,,0.2502,21,0.4837,11.33,0.1236,0.2779,FALSE
598,stage>unit>order>family>name>def,,0.3077,26,0.4187,10.31,0.0738,0.4316,FALSE
599,stage>unit>order>name>def>family,,0.3008,27,0.3926,10.37,0.0629,0.4915,FALSE
600,stage>unit>order>name>family>def,,0.2094,20,0.3818,14.25,0.1735,0.3844,FALSE
601,unit>def>family>name>order>stage,,0.1292,2,0.0738,213.5,0.9111,-0.0221,TRUE
602,unit>def>family>name>stage>order,,0.1328,2,0.0651,215.5,0.9132,-0.0218,TRUE
603,unit>def>family>order>name>stage,,0.2714,20,0.436,13,0.0716,0.4015,FALSE
604,unit>def>family>order>stage>name,,0.1088,3,0.0781,141.67,0.8959,-0.0284,TRUE
605,unit>def>family>stage>name>order,,0.1,3,0.0672,143.33,0.9046,-0.0273,TRUE
606,unit>def>family>stage>order>name,,0.1053,3,0.0803,141.33,0.8937,-0.0287,TRUE
607,unit>def>name>family>order>stage,,0.2439,16,0.4469,15.94,0.1041,0.4007,FALSE
608,unit>def>name>family>stage>order,,0.2403,17,0.4317,15.41,0.1063,0.3975,FALSE
609,unit>def>name>order>family>stage,,0.2425,16,0.4382,16.19,0.102,0.4075,FALSE
610,unit>def>name>order>stage>family,,0.2133,14,0.4295,18.79,0.102,0.407,FALSE
611,unit>def>name>stage>family>order,,0.2265,17,0.41,16,0.1085,0.4241,FALSE
612,unit>def>name>stage>order>family,,0.243,17,0.4664,14.47,0.1041,0.3793,FALSE
613,unit>def>order>family>name>stage,,0.224,15,0.423,17.73,0.0976,0.3876,FALSE
614,unit>def>order>family>stage>name,,0.0993,3,0.0738,142.33,0.8937,-0.0309,TRUE
615,unit>def>order>name>family>stage,,0.1164,2,0.0933,209,0.885,-0.028,TRUE
616,unit>def>order>name>stage>family,,0.1144,2,0.0868,210.5,0.8915,-0.0276,TRUE
617,unit>def>order>stage>family>name,,0.0882,3,0.0781,141.67,0.8894,-0.0315,TRUE
618,unit>def>order>stage>name>family,,0.1151,2,0.0998,207.5,0.8807,-0.0282,TRUE
619,unit>def>stage>family>name>order,,0.1404,2,0.0716,214,0.9132,-0.0215,TRUE
620,unit>def>stage>family>order>name,,0.1049,3,0.0477,146.33,0.9241,-0.0202,TRUE
621,unit>def>stage>name>family>order,,0.1391,2,0.0607,216.5,0.9197,-0.0201,TRUE
622,unit>def>stage>name>order>family,,0.1377,2,0.0586,217,0.9241,-0.0181,TRUE
623,unit>def>stage>order>family>name,,0.127,2,0.0824,211.5,0.8937,-0.0271,TRUE
624,unit>def>stage>order>name>family,,0.2245,15,0.4121,18.07,0.1215,0.393,FALSE
625,unit>family>def>name>order>stage,,0.2364,19,0.449,13.37,0.1063,0.3988,FALSE
626,unit>family>def>name>stage>order,,0.2346,19,0.4469,13.42,0.115,0.3971,FALSE
627,unit>family>def>order>name>stage,,0.2871,22,0.41,12.36,0.0911,0.3993,FALSE
628,unit>family>def>order>stage>name,,0.2787,19,0.4816,12.58,0.1063,0.324,FALSE
629,unit>family>def>stage>name>order,,0.2432,17,0.436,15.29,0.1063,0.3466,FALSE
630,unit>family>def>stage>order>name,,0.2373,16,0.4469,15.94,0.1063,0.3392,FALSE
631,unit>family>name>def>order>stage,,0.33,30,0.3384,10.17,0.0759,0.5234,FALSE
632,unit>family>name>def>stage>order,,0.3283,29,0.3384,10.52,0.0781,0.5506,FALSE
633,unit>family>name>order>def>stage,,0.3114,26,0.3557,11.42,0.0803,0.5069,FALSE
634,unit>family>name>order>stage>def,,0.2897,21,0.3644,13.95,0.1128,0.4459,FALSE
635,unit>family>name>stage>def>order,,0.2971,23,0.3536,12.96,0.1215,0.4317,FALSE
636,unit>family>name>stage>order>def,,0.2836,21,0.3492,14.29,0.1193,0.4291,FALSE
637,unit>family>order>def>name>stage,,0.226,17,0.3709,17.06,0.1128,0.4563,FALSE
638,unit>family>order>def>stage>name,,0.2374,19,0.3839,14.95,0.1106,0.3958,FALSE
639,unit>family>order>name>def>stage,,0.3193,29,0.3341,10.59,0.0803,0.5109,FALSE
640,unit>family>order>name>stage>def,,0.2707,22,0.3341,13.95,0.1258,0.385,FALSE
641,unit>family>order>stage>def>name,,0.23,18,0.4165,14.94,0.1063,0.4138,FALSE
642,unit>family>order>stage>name>def,,0.3067,26,0.3557,11.42,0.0781,0.5248,FALSE
643,unit>family>stage>def>name>order,,0.2394,17,0.5011,13.53,0.0998,0.3347,FALSE
644,unit>family>stage>def>order>name,,0.2751,22,0.4707,11.09,0.102,0.3182,FALSE
645,unit>family>stage>name>def>order,,0.2981,25,0.3514,11.96,0.0781,0.5801,FALSE
646,unit>family>stage>name>order>def,,0.2706,21,0.3384,14.52,0.1215,0.4702,FALSE
647,unit>family>stage>order>def>name,,0.2274,18,0.4121,15.06,0.102,0.3972,FALSE
648,unit>family>stage>order>name>def,,0.3038,23,0.3492,13.04,0.1193,0.4871,FALSE
649,unit>name>def>family>order>stage,,0.2923,24,0.4187,11.17,0.0629,0.4717,FALSE
650,unit>name>def>family>stage>order,,0.1924,15,0.2581,22.8,0.3709,0.2911,FALSE
651,unit>name>def>order>family>stage,unit_first,0.1873,14,0.2711,24,0.3688,0.2989,FALSE
652,unit>name>def>order>stage>family,,0.283,22,0.4056,12.45,0.0694,0.513,FALSE
653,unit>name>def>stage>family>order,,0.294,22,0.4252,12.05,0.0607,0.4675,FALSE
654,unit>name>def>stage>order>family,,0.2991,19,0.4469,13.42,0.0672,0.4591,FALSE
655,unit>name>family>def>order>stage,,0.2859,18,0.3666,16.22,0.1453,0.569,FALSE
656,unit>name>family>def>stage>order,,0.2852,19,0.3536,15.68,0.1453,0.5525,FALSE
657,unit>name>family>order>def>stage,,0.3124,20,0.4143,13.5,0.0933,0.4392,FALSE
658,unit>name>family>order>stage>def,,0.2581,18,0.3492,16.67,0.1432,0.4977,FALSE
659,unit>name>family>stage>def>order,,0.276,18,0.3514,16.61,0.1388,0.5488,FALSE
660,unit>name>family>stage>order>def,,0.2532,17,0.3514,17.59,0.1453,0.4999,FALSE
661,unit>name>order>def>family>stage,,0.2695,19,0.4143,14.21,0.0954,0.3992,FALSE
662,unit>name>order>def>stage>family,,0.2757,18,0.3623,16.33,0.1432,0.5508,FALSE
