OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,raw_record_count,include_basis,V1,V2,V3,V4,V5,V6,V7,V8
body size,mean wing length,mm,142,definition+unit,19,4,6,5,3,6,6,6
body size,mean wing length (mm),mm,25,definition+unit,19,-1,6,5,3,6,-1,-1
