version,version_number,field_added,n_trait_categories,mean_dominant_share,median_dominant_share,mean_dominant_cluster_purity,mean_non_noise_share,n_categories_at_best
V1,1,name,10,0.6465610229082251,0.6190476190476191,0.8128874883286648,0.8965660672023656,5
V2,2,+ definition,10,0.6962653286455295,0.7363977485928705,0.7404843096658953,0.7770759455752282,1
V3,3,+ unit,10,0.7635175705053754,0.8224932249322493,0.8290287370008732,0.8492062362155619,3
V4,4,+ order,10,0.675431319995165,0.6066176470588236,0.8089733542319749,0.8468362421891834,0
V5,5,+ family,10,0.656228238762672,0.5919117647058824,0.7704573183864228,0.8604506212741507,1
V6,6,+ stage,10,0.6862711533644101,0.642156862745098,0.7471112914862915,0.838188896071249,3
V7,7,+ class,10,0.6665125165763617,0.6274509803921569,0.7361204481792717,0.8483203691733103,2
V8,8,+ phylum,10,0.6594046734391067,0.5919117647058824,0.7178108288770053,0.8587125260360554,1
