order_id,order_string,combination_key,trait_category,n_concepts,n_noise,n_clusters_occupied,dominant_n,dominant_cluster_ids,dominant_cluster_tie,dominant_share,non_noise_share,dominant_purity_min,dominant_purity_mean,dominant_purity_max,balanced_score
1,name>def>unit,name+def+unit,Body mass / weight,41,2,3,31,7,FALSE,0.7560975609756098,0.9512195121951219,1,1,1,0.8611111111111112
1,name>def>unit,name+def+unit,Development rate,13,6,1,7,15,FALSE,0.5384615384615384,0.5384615384615384,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.3181818181818182
1,name>def>unit,name+def+unit,Development time,25,1,1,24,15,FALSE,0.96,0.96,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.8571428571428571
1,name>def>unit,name+def+unit,Egg incubation period,9,1,1,8,11,FALSE,0.8888888888888888,0.8888888888888888,1,1,1,0.9411764705882353
1,name>def>unit,name+def+unit,Egg-hatching success,13,1,1,12,12,FALSE,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
1,name>def>unit,name+def+unit,Fecundity,72,5,1,67,4,FALSE,0.9305555555555556,0.9305555555555556,0.9852941176470589,0.9852941176470589,0.9852941176470589,0.9571428571428572
1,name>def>unit,name+def+unit,Linear morphometrics,15,4,1,11,6,FALSE,0.7333333333333333,0.7333333333333333,1,1,1,0.846153846153846
1,name>def>unit,name+def+unit,Longevity / lifespan,34,3,3,17,18,FALSE,0.5,0.9117647058823529,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.6415094339622641
1,name>def>unit,name+def+unit,Pre-oviposition interval,21,2,1,19,14,FALSE,0.9047619047619048,0.9047619047619048,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.6333333333333333
1,name>def>unit,name+def+unit,Survival proportion,24,6,2,12,17,FALSE,0.5,0.75,1,1,1,0.6666666666666666
2,def>name>unit,name+def+unit,Body mass / weight,41,7,3,20,9,FALSE,0.4878048780487805,0.8292682926829268,1,1,1,0.6557377049180327
2,def>name>unit,name+def+unit,Development rate,13,8,1,5,17,FALSE,0.38461538461538464,0.38461538461538464,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.20833333333333331
2,def>name>unit,name+def+unit,Development time,25,14,1,11,17,FALSE,0.44,0.44,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3666666666666667
2,def>name>unit,name+def+unit,Egg incubation period,9,1,1,8,15,FALSE,0.8888888888888888,0.8888888888888888,1,1,1,0.9411764705882353
2,def>name>unit,name+def+unit,Egg-hatching success,13,2,1,11,11,FALSE,0.8461538461538461,0.8461538461538461,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8799999999999999
2,def>name>unit,name+def+unit,Fecundity,72,24,1,48,16,FALSE,0.6666666666666666,0.6666666666666666,1,1,1,0.8
2,def>name>unit,name+def+unit,Linear morphometrics,15,4,1,11,6,FALSE,0.7333333333333333,0.7333333333333333,1,1,1,0.846153846153846
2,def>name>unit,name+def+unit,Longevity / lifespan,34,10,3,9,10;17,TRUE,0.2647058823529412,0.7058823529411765,0.2571428571428571,0.6285714285714286,1,0.37253057384760113
