order_id,field_1,field_2,field_3,order_string,combination_key
133,def,name,order,def>name>order,name+def+order
134,def,order,name,def>order>name,name+def+order
135,name,def,order,name>def>order,name+def+order
136,name,order,def,name>order>def,name+def+order
137,order,def,name,order>def>name,name+def+order
138,order,name,def,order>name>def,name+def+order
139,def,name,phylum,def>name>phylum,name+def+phylum
140,def,phylum,name,def>phylum>name,name+def+phylum
141,name,def,phylum,name>def>phylum,name+def+phylum
142,name,phylum,def,name>phylum>def,name+def+phylum
143,phylum,def,name,phylum>def>name,name+def+phylum
144,phylum,name,def,phylum>name>def,name+def+phylum
145,def,name,stage,def>name>stage,name+def+stage
146,def,stage,name,def>stage>name,name+def+stage
147,name,def,stage,name>def>stage,name+def+stage
148,name,stage,def,name>stage>def,name+def+stage
149,stage,def,name,stage>def>name,name+def+stage
150,stage,name,def,stage>name>def,name+def+stage
151,class,family,name,class>family>name,name+family+class
152,class,name,family,class>name>family,name+family+class
153,family,class,name,family>class>name,name+family+class
154,family,name,class,family>name>class,name+family+class
155,name,class,family,name>class>family,name+family+class
156,name,family,class,name>family>class,name+family+class
157,family,name,phylum,family>name>phylum,name+family+phylum
158,family,phylum,name,family>phylum>name,name+family+phylum
159,name,family,phylum,name>family>phylum,name+family+phylum
160,name,phylum,family,name>phylum>family,name+family+phylum
161,phylum,family,name,phylum>family>name,name+family+phylum
162,phylum,name,family,phylum>name>family,name+family+phylum
163,family,name,stage,family>name>stage,name+family+stage
164,family,stage,name,family>stage>name,name+family+stage
165,name,family,stage,name>family>stage,name+family+stage
166,name,stage,family,name>stage>family,name+family+stage
167,stage,family,name,stage>family>name,name+family+stage
168,stage,name,family,stage>name>family,name+family+stage
169,class,name,order,class>name>order,name+order+class
170,class,order,name,class>order>name,name+order+class
171,name,class,order,name>class>order,name+order+class
172,name,order,class,name>order>class,name+order+class
173,order,class,name,order>class>name,name+order+class
174,order,name,class,order>name>class,name+order+class
175,family,name,order,family>name>order,name+order+family
176,family,order,name,family>order>name,name+order+family
177,name,family,order,name>family>order,name+order+family
178,name,order,family,name>order>family,name+order+family
179,order,family,name,order>family>name,name+order+family
180,order,name,family,order>name>family,name+order+family
181,name,order,phylum,name>order>phylum,name+order+phylum
182,name,phylum,order,name>phylum>order,name+order+phylum
183,order,name,phylum,order>name>phylum,name+order+phylum
184,order,phylum,name,order>phylum>name,name+order+phylum
185,phylum,name,order,phylum>name>order,name+order+phylum
186,phylum,order,name,phylum>order>name,name+order+phylum
187,name,order,stage,name>order>stage,name+order+stage
188,name,stage,order,name>stage>order,name+order+stage
189,order,name,stage,order>name>stage,name+order+stage
190,order,stage,name,order>stage>name,name+order+stage
191,stage,name,order,stage>name>order,name+order+stage
192,stage,order,name,stage>order>name,name+order+stage
193,class,name,stage,class>name>stage,name+stage+class
194,class,stage,name,class>stage>name,name+stage+class
195,name,class,stage,name>class>stage,name+stage+class
196,name,stage,class,name>stage>class,name+stage+class
197,stage,class,name,stage>class>name,name+stage+class
198,stage,name,class,stage>name>class,name+stage+class
199,name,phylum,stage,name>phylum>stage,name+stage+phylum
200,name,stage,phylum,name>stage>phylum,name+stage+phylum
201,phylum,name,stage,phylum>name>stage,name+stage+phylum
202,phylum,stage,name,phylum>stage>name,name+stage+phylum
203,stage,name,phylum,stage>name>phylum,name+stage+phylum
204,stage,phylum,name,stage>phylum>name,name+stage+phylum
205,class,name,unit,class>name>unit,name+unit+class
206,class,unit,name,class>unit>name,name+unit+class
207,name,class,unit,name>class>unit,name+unit+class
208,name,unit,class,name>unit>class,name+unit+class
209,unit,class,name,unit>class>name,name+unit+class
210,unit,name,class,unit>name>class,name+unit+class
211,family,name,unit,family>name>unit,name+unit+family
212,family,unit,name,family>unit>name,name+unit+family
213,name,family,unit,name>family>unit,name+unit+family
214,name,unit,family,name>unit>family,name+unit+family
215,unit,family,name,unit>family>name,name+unit+family
216,unit,name,family,unit>name>family,name+unit+family
217,name,order,unit,name>order>unit,name+unit+order
218,name,unit,order,name>unit>order,name+unit+order
219,order,name,unit,order>name>unit,name+unit+order
220,order,unit,name,order>unit>name,name+unit+order
221,unit,name,order,unit>name>order,name+unit+order
222,unit,order,name,unit>order>name,name+unit+order
223,name,phylum,unit,name>phylum>unit,name+unit+phylum
224,name,unit,phylum,name>unit>phylum,name+unit+phylum
225,phylum,name,unit,phylum>name>unit,name+unit+phylum
226,phylum,unit,name,phylum>unit>name,name+unit+phylum
227,unit,name,phylum,unit>name>phylum,name+unit+phylum
228,unit,phylum,name,unit>phylum>name,name+unit+phylum
229,name,stage,unit,name>stage>unit,name+unit+stage
230,name,unit,stage,name>unit>stage,name+unit+stage
231,stage,name,unit,stage>name>unit,name+unit+stage
232,stage,unit,name,stage>unit>name,name+unit+stage
233,unit,name,stage,unit>name>stage,name+unit+stage
234,unit,stage,name,unit>stage>name,name+unit+stage
235,class,order,phylum,class>order>phylum,order+class+phylum
236,class,phylum,order,class>phylum>order,order+class+phylum
237,order,class,phylum,order>class>phylum,order+class+phylum
238,order,phylum,class,order>phylum>class,order+class+phylum
239,phylum,class,order,phylum>class>order,order+class+phylum
240,phylum,order,class,phylum>order>class,order+class+phylum
241,class,family,order,class>family>order,order+family+class
242,class,order,family,class>order>family,order+family+class
243,family,class,order,family>class>order,order+family+class
244,family,order,class,family>order>class,order+family+class
245,order,class,family,order>class>family,order+family+class
246,order,family,class,order>family>class,order+family+class
247,family,order,phylum,family>order>phylum,order+family+phylum
248,family,phylum,order,family>phylum>order,order+family+phylum
249,order,family,phylum,order>family>phylum,order+family+phylum
250,order,phylum,family,order>phylum>family,order+family+phylum
251,phylum,family,order,phylum>family>order,order+family+phylum
