combination_key,n_orders,n_degenerate_orders,mean_dominant_share_across_orders,sd_dominant_share_across_orders,min_dominant_share_across_orders,max_dominant_share_across_orders,mean_dominant_purity_across_orders,min_dominant_purity_across_orders,mean_balanced_score_across_orders,min_balanced_score_across_orders,mean_noise_rate_across_orders,best_order_by_share,best_order_by_balanced_score,eligible,fieldset_share_rank,fieldset_balanced_rank
order+stage+phylum,6,0,0.23906365410454364,0.03678725970994651,0.20348913974595467,0.3086173886690386,0.28425569591512984,0.22701007326007325,0.22808093458753836,0.21438147837390342,0.14244396240057844,stage>phylum>order,phylum>order>stage,TRUE,49,45
family+stage+phylum,6,0,0.23131756250551086,0.04611438188634345,0.18423409151027514,0.3199424211210438,0.2953150460074985,0.23941345334854464,0.2250730845000891,0.20294967062167454,0.11171366594360087,family>phylum>stage,family>phylum>stage,TRUE,51,46
order+family+stage,6,0,0.2323584736375267,0.04378697804790908,0.1770588699519833,0.29213076800451265,0.2752528177995167,0.22782073270420727,0.2208414585993587,0.20010014039264992,0.11641359363702097,order>family>stage,family>stage>order,TRUE,50,47
family+stage+class,6,0,0.2562574119912714,0.040564393958141924,0.2055588471786463,0.30899470870274315,0.24188827782873887,0.20442384004884007,0.21984068654648342,0.21057733429801107,0.10773680404916847,stage>family>class,class>stage>family,TRUE,48,48
stage+class+phylum,6,0,0.2921914989468791,0.04368230554761592,0.23718895300459145,0.347664643343266,0.20431133433620519,0.18041424018542662,0.2150343310192304,0.1995389523629951,0.07122198120028922,class>stage>phylum,class>stage>phylum,TRUE,39,49
order+class+phylum,6,0,0.28453442481849944,0.040853292873296844,0.2346413777518512,0.34049810543354303,0.1470581368697696,0.11974296536796536,0.1643395480702162,0.1454015150457572,0.03253796095444685,order>class>phylum,order>phylum>class,TRUE,41,50
family+class+phylum,6,0,0.3048087689317962,0.04929373738654761,0.2231962045606235,0.3494757323817582,0.14056958202091302,0.13260591623490328,0.16117515962642442,0.1497747662555096,0.038684020245842374,class>phylum>family,family>phylum>class,TRUE,32,51
order+family+phylum,6,0,0.27846808813164625,0.030462272883083397,0.22843610852721324,0.3118156323192191,0.1504746433389831,0.1350770119368502,0.15663946910925802,0.15146607303949255,0.04772234273318872,phylum>order>family,order>phylum>family,TRUE,43,52
order+family+class,6,0,0.2980974710501253,0.03792348327271543,0.23614611285414727,0.346648280700648,0.11169659506894832,0.08222222222222222,0.1294679930671321,0.10390625807897216,0.049168474331164135,order>family>class,class>order>family,TRUE,36,53
name+def+phylum,6,1,0.7202392266057976,0.14324305243388402,0.6172784233142913,0.9933333333333333,0.6085308346477054,0.06333333333333334,0.54716082979821,0.11624608397739478,0.2874186550976139,phylum>def>name,name>def>phylum,FALSE,NA,NA
name+def+stage,6,3,0.7698339673371954,0.2538027789523339,0.45478006649814395,1,0.39226053152723067,0.06180555555555555,0.3522491881009266,0.1137170487823554,0.2346348517715112,stage>def>name,name>def>stage,FALSE,NA,NA
name+def+unit,6,1,0.7211242796472351,0.15783582450351333,0.5741930784821746,0.9958333333333333,0.6592944807457192,0.06333333333333334,0.5815290578235306,0.11625540364188686,0.3138105567606652,unit>def>name,name>def>unit,FALSE,NA,NA
